question_id,topic,answer_type,region,generated_at,question_en,answers_en,question_hi,answers_hi,question_ja,answers_ja,question_sw,answers_sw,question_th,answers_th,question_translate_hi,answers_translate_hi,question_translate_ja,answers_translate_ja,question_translate_sw,answers_translate_sw,question_translate_th,answers_translate_th
5,Literature,Book_Title,India,20250510-191817,Which play by Kalidasa tells the story of King Dushyanta and Shakuntala?,"[""Abhijnanashakuntalam"", ""Abhijnanasakuntalam"", ""The Recognition of Sakuntala"", ""Sakuntala""]",कालिदास के किस नाटक में राजा दुष्यंत और शकुंतला की कहानी है?,"[""अभिज्ञानशाकुंतलम"", ""अभिज्ञानशाकुंतलम"", ""अभिज्ञान शाकुंतलम""]",カーリダーサのどの戯曲が、ドゥシヤンタ王とシャクンタラーの物語を描いていますか？,"[""アビギャーナシャクンタラム"", ""Abhigyānashakuntalam"", ""Abhijnanashakuntalam"", ""シャクンタラー姫"", ""Shakuntala-hime""]",Ni tamthilia gani ya Kalidasa inasimulia hadithi ya Mfalme Dushyanta na Shakuntala?,"[""Abhijnanashakuntalam""]",บทละครเรื่องใดของกาลิทาส เล่าเรื่องราวของพระเจ้าทุษยันต์และศกุนตลา,"[""Abhijnanashakuntalam"", ""อภิชญาณศากุนตลัม""]",कालिदास द्वारा कौन सा नाटक राजा दुष्यंत और शकुंतला की कहानी बताता है?,"[""अभिजननाशाकुंटलम"", ""अभिज्ञानशाकुन्तलम्"", ""साकंटला की मान्यता"", ""शकुंतला""]",カリダサによるどちらの演劇は、ドゥシャーンタ王とシャクンタラの物語を語っていますか？,"[""Abhijnanashakuntalam"", ""Abhijnanasakuntalam"", ""サクンタラの認識"", ""サクンタラ""]",Je! Ni mchezo gani uliochezwa na Kalidasa unasimulia hadithi ya Mfalme Dushyanta na Shakuntala?,"[""Abhijnanashakuntalam"", ""Abhijnanasakuntalam"", ""Utambuzi wa Sakuntala"", ""Sakuntala""]",ละครเรื่องไหนของ Kalidasa บอกเล่าเรื่องราวของ King Dushyanta และ Shakuntala?,"[""Abhijnanashakuntalam"", ""Abhijnanasakuntalam"", ""การรับรู้ของ Sakuntala"", ""Sakuntala""]"
6,Literature,Book_Title,India,20250510-191817,What is the title of Vikram Seth's epic novel written in verse?,"[""A Suitable Boy""]",विक्रम सेठ के पद्य में लिखे गए महाकाव्य उपन्यास का शीर्षक क्या है?,"[""ए सूटेबल बॉय"", ""ए सूटेबल बॉय""]",ヴィクラム・セスが韻文で書いた叙事詩的小説のタイトルは何ですか？,"[""ふさわしい少年"", ""フサワシイショウネン"", ""Fusawashii Shōnen"", ""A Suitable Boy""]",Jina la riwaya kuu ya Vikram Seth iliyoandikwa kwa aya ni nini?,"[""A Suitable Boy""]",นวนิยายมหากาพย์ที่เขียนเป็นกลอนของวิกรม เศรษฐ์ มีชื่อว่าอะไร,"[""A Suitable Boy"", ""เด็กชายที่เหมาะสม""]",विक्रम सेठ के महाकाव्य उपन्यास का शीर्षक कविता में लिखा गया है?,"[""एक उपयुक्त लड़का""]",ヴィクラム・セスの叙事詩小説のタイトルは詩で書かれていますか？,"[""適切な男の子""]",Je! Ni nini kichwa cha riwaya ya Vikram Seth iliyoandikwa katika aya?,"[""Mvulana anayefaa""]",ชื่อเรื่องของนวนิยายมหากาพย์ของ Vikram Seth เขียนในบทกวีคืออะไร?,"[""เด็กชายที่เหมาะสม""]"
7,Literature,Book_Title,India,20250510-191817,Which novel by Salman Rushdie won the Booker Prize in 1981?,"[""Midnight's Children""]",सलमान रुश्दी के किस उपन्यास ने 1981 में बुकर पुरस्कार जीता?,"[""मिडनाइट्स चिल्ड्रन"", ""मिडनाइट्स चिल्ड्रन""]",サルマン・ラシュディのどの小説が1981年にブッカー賞を受賞しましたか？,"[""真夜中の子供たち"", ""マヨナカノコドモタチ"", ""Mayonaka no Kodomotachi"", ""Midnight's Children""]",Riwaya gani ya Salman Rushdie ilishinda Tuzo la Booker mwaka 1981?,"[""Midnight's Children""]",นวนิยายเรื่องใดของซัลมาน รัชดี ได้รับรางวัลบุ๊กเกอร์ในปี 1981,"[""Midnight's Children"", ""เด็กเที่ยงคืน""]",सलमान रुश्दी के किस उपन्यास ने 1981 में बुकर पुरस्कार जीता?,"[""आधी रात के बच्चे""]",1981年にSalman Rushdieのどの小説がブッカー賞を受賞しましたか？,"[""真夜中の子供たち""]",Je! Ni riwaya gani ya Salman Rushdie ilishinda tuzo ya Booker mnamo 1981?,"[""Watoto wa usiku wa manane""]",นวนิยายเรื่องไหนของ Salman Rushdie ได้รับรางวัล Booker Prize ในปี 1981,"[""ลูก ๆ ของเที่ยงคืน""]"
8,Literature,Book_Title,India,20250510-191817,"What is the title of the ancient Indian treatise on statecraft, economic policy and military strategy, traditionally attributed to Chanakya?","[""Arthashastra"", ""Arthashastra""]","चाणक्य द्वारा रचित राज्यकला, आर्थिक नीति और सैन्य रणनीति पर प्राचीन भारतीय ग्रंथ का शीर्षक क्या है?","[""अर्थशास्त्र"", ""अर्थशास्त्र""]",チャナキヤに帰属するとされる、古代インドの政治、経済政策、軍事戦略に関する論文のタイトルは何ですか？,"[""実利論"", ""ジツリロン"", ""Jitsuriron"", ""Arthashastra"", ""アルタシャストラ""]","Jina la kitabu cha kale cha Kihindi kuhusu uongozi wa nchi, sera ya kiuchumi na mkakati wa kijeshi, ambacho kiasili kinahusishwa na Chanakya, ni nini?","[""Arthashastra""]",ชื่อของตำราอินเดียโบราณว่าด้วยรัฐศาสตร์ นโยบายเศรษฐกิจ และยุทธศาสตร์ทางทหาร ซึ่งได้รับการกล่าวขานว่าเป็นของจาณักยะ คืออะไร,"[""Arthashastra"", ""อรรถศาสตร์""]","राज्य, आर्थिक नीति और सैन्य रणनीति पर प्राचीन भारतीय ग्रंथ का शीर्षक क्या है, पारंपरिक रूप से चनाक्य को जिम्मेदार ठहराया जाता है?","[""अर्थशास्त्र"", ""अर्थशास्त्र""]",伝統的にチャナキヤに起因する、文書化、経済政策、軍事戦略に関する古代インドの論文の称号は何ですか？,"[""Arthashastra"", ""Arthashastra""]","Je! Ni nini jina la makubaliano ya zamani ya India juu ya takwimu, sera ya uchumi na mkakati wa kijeshi, jadi iliyohusishwa na Chanakya?","[""Arthashastra"", ""Arthashastra""]",ชื่อของบทความอินเดียโบราณเกี่ยวกับ Statecraft นโยบายเศรษฐกิจและกลยุทธ์ทางทหารคืออะไรที่เกิดจาก Chanakya,"[""Arthashastra"", ""Arthashastra""]"
9,Literature,Book_Title,India,20250510-191817,What is the title of the autobiography of Mahatma Gandhi?,"[""The Story of My Experiments with Truth"", ""My Experiments with Truth""]",महात्मा गांधी की आत्मकथा का शीर्षक क्या है?,"[""द स्टोरी ऑफ माई एक्सपेरिमेंट्स विथ ट्रुथ"", ""माई एक्सपेरिमेंट्स विथ ट्रुथ"", ""सत्य के साथ मेरे प्रयोग""]",マハトマ・ガンジーの自伝のタイトルは何ですか？,"[""わが実験の物語"", ""ワガジッケンノモノガタリ"", ""Waga Jikken no Monogatari"", ""The Story of My Experiments with Truth"", ""私の真実実験物語"", ""Watashi no Shinjitsu Jikken Monogatari""]",Jina la tawasifu ya Mahatma Gandhi ni nini?,"[""The Story of My Experiments with Truth""]",อัตชีวประวัติของมหาตมะ คานธี มีชื่อว่าอะไร,"[""The Story of My Experiments with Truth"", ""เรื่องราวแห่งการทดลองของข้าพเจ้ากับความจริง""]",महात्मा गांधी की आत्मकथा का शीर्षक क्या है?,"[""सत्य के साथ मेरे प्रयोगों की कहानी"", ""सत्य के साथ मेरे प्रयोग""]",マハトマガンジーの自伝のタイトルは何ですか？,"[""私の実験の物語と真実"", ""真実との私の実験""]",Je! Kichwa cha Autobiografia ya Mahatma Gandhi ni nini?,"[""Hadithi ya majaribio yangu na ukweli"", ""Majaribio yangu na ukweli""]",ชื่อเรื่องอัตชีวประวัติของมหาตมะคานธีคืออะไร?,"[""เรื่องราวของการทดลองของฉันด้วยความจริง"", ""การทดลองของฉันด้วยความจริง""]"
10,Literature,Book_Title,India,20250510-191817,"What is the title of the epic poem written by Tulsidas in Awadhi dialect of Hindi, retelling the Ramayana?","[""Ramcharitmanas"", ""Ramcharitamanasa"", ""Sri Ramcharitmanas""]",तुलसीदास द्वारा अवधी बोली में रचित रामायण को फिर से बताने वाले महाकाव्य का शीर्षक क्या है?,"[""रामचरितमानस"", ""रामचरितमानस"", ""श्री रामचरितमानस""]",トゥルシーダースがヒンディー語のアワディー方言で書いた、ラーマーヤナを語り直した叙事詩のタイトルは何ですか？,"[""ラームチャリタマナス"", ""Rāmacharitamanasa"", ""Ramcharitmanas"", ""シュリー・ラームチャリタマナス"", ""Shurī Rāmucharitamanasu""]","Jina la shairi kuu lililoandikwa na Tulsidas katika lahaja ya Awadhi ya Kihindi, likisimulia tena Ramayana, ni nini?","[""Ramcharitmanas""]",ชื่อของมหากาพย์ที่เขียนโดยตุลสิทาสในภาษาอวธีของภาษาฮินดี เล่าเรื่องรามเกียรติ์ใหม่ คืออะไร,"[""Ramcharitmanas"", ""รามจริตมนัส""]","रामायण को रिटेलिंग करते हुए, अवाधी बोली हिंदी में तुलसिदास द्वारा लिखी गई महाकाव्य कविता का शीर्षक क्या है?","[""रामचरिट्मानस"", ""रामचरमनासा"", ""श्री रामचरिट्मानस""]",ヒンディー語のアワディ方言でタルシダスによって書かれた叙事詩の詩の称号は何ですか？,"[""ラムチャリットマナ"", ""ラムチャタマナサ"", ""Sri Ramcharitmanas""]","Je! Ni nini kichwa cha shairi la Epic lililoandikwa na Tulsidas katika lahaja ya Awadhi ya Kihindi, akielezea Ramayana?","[""Ramcharitmanas"", ""Ramcharitamanasa"", ""Sri Ramcharitmanas""]",ชื่อบทกวีมหากาพย์ที่เขียนโดย Tulsidas ในภาษาฮินดูของ Awadhi คืออะไร,"[""Ramcharitmanas"", ""Ramcharitamanasa"", ""ศรี Ramcharitmanas""]"
1,Literature,Award,Japan,20250510-195002,What literary award did Kenzaburo Oe receive in 1994?,"[""Nobel Prize in Literature"", ""Nobel Prize""]",केंज़ाबुरो ओए (Kenzaburo Oe) ने 1994 में कौन सा साहित्यिक पुरस्कार प्राप्त किया?,"[""साहित्य में नोबेल पुरस्कार (Sahitya mein Nobel Puraskar)"", ""नोबेल पुरस्कार (Nobel Puraskar)""]",大江健三郎 (Ōe Kenzaburō) は1994年に何の文学賞を受賞しましたか？,"[""ノーベル文学賞 (Nōberu Bungaku Shō)"", ""ノーベル賞 (Nōberu Shō)""]",Kenzaburo Oe alipokea tuzo gani ya fasihi mwaka 1994?,"[""Tuzo ya Nobel ya Fasihi"", ""Tuzo ya Nobel""]",เคนซาบูโร โอเอ (Kenzaburo Oe) ได้รับรางวัลวรรณกรรมอะไรในปี 1994?,"[""รางวัลโนเบลสาขาวรรณกรรม (รางวัลโนเบลสาขาวรรณกรรม)"", ""รางวัลโนเบล (รางวัลโนเบล)""]",1994 में Kenzaburo Oe को क्या साहित्यिक पुरस्कार मिला?,"[""साहित्य में नोबेल पुरस्कार"", ""नोबेल पुरस्कार""]",Kenzaburo OEは1994年にどのような文学賞を受賞しましたか？,"[""ノーベル文学賞"", ""ノーベル賞""]",Je! Kenzaburo OE ilipokea tuzo gani mnamo 1994?,"[""Tuzo la Nobel katika Fasihi"", ""Tuzo la Nobel""]",Kenzaburo OE ได้รับรางวัลวรรณกรรมอะไรในปี 1994,"[""รางวัลโนเบลในวรรณคดี"", ""รางวัลโนเบล""]"
2,Literature,Award,Japan,20250510-195002,What is the name of the prestigious award given to new writers by Shinchosha Publishing?,"[""Yukio Mishima Prize"", ""Mishima Prize"", ""Yukio Mishima Literary Prize""]",शिंचोशा प्रकाशन (Shinchosha Prakashan) द्वारा नए लेखकों को दिया जाने वाला प्रतिष्ठित पुरस्कार का नाम क्या है?,"[""युकिओ मिशिमा पुरस्कार (Yukio Mishima Puraskar)"", ""मिशिमा पुरस्कार (Mishima Puraskar)"", ""युकिओ मिशिमा साहित्यिक पुरस्कार (Yukio Mishima Sahityik Puraskar)""]",新潮社 (Shinchōsha) が新人作家に贈る権威ある賞の名前は何ですか？,"[""三島由紀夫賞 (Mishima Yukio Shō)"", ""三島賞 (Mishima Shō)""]",Jina la tuzo mashuhuri inayotolewa kwa waandishi wapya na Shinchosha Publishing ni nini?,"[""Tuzo ya Yukio Mishima"", ""Tuzo ya Mishima""]",รางวัลอันทรงเกียรติที่มอบให้แก่นักเขียนหน้าใหม่โดยสำนักพิมพ์ชินโชฉะ (Shinchosha) มีชื่อว่าอะไร?,"[""รางวัลยูคิโอะ มิชิมะ (รางวัลยูคิโอะ มิชิมะ)"", ""รางวัลมิชิมะ (รางวัลมิชิมะ)""]",शिनचोशा प्रकाशन द्वारा नए लेखकों को दिए गए प्रतिष्ठित पुरस्कार का नाम क्या है?,"[""युकियो मिशिमा प्राइज़"", ""मिशिमा प्राइज़"", ""युकियो मिशिमा लिटरी प्राइज़""]",Shinchosha Publishingによって新しい作家に与えられた名誉ある賞の名前は何ですか？,"[""三島等賞"", ""三島賞"", ""三島文学賞""]",Je! Jina la tuzo ya kifahari alipewa waandishi wapya na Shinchosha Publishing?,"[""Tuzo ya Yukio Mishima"", ""Tuzo ya Mishima"", ""Tuzo ya Fasihi ya Yukio Mishima""]",รางวัลอันทรงเกียรติที่มอบให้กับนักเขียนใหม่โดยสำนักพิมพ์ Shinchosha คืออะไร?,"[""รางวัล Yukio Mishima"", ""รางวัล Mishima"", ""รางวัลวรรณกรรม Yukio Mishima""]"
3,Literature,Award,Japan,20250510-195002,Which award recognizes outstanding works of children's literature in Japan?,"[""Noma Children's Culture Prize"", ""Noma Children's Literature Prize""]",जापान में बच्चों के साहित्य के उत्कृष्ट कार्यों को कौन सा पुरस्कार सम्मानित करता है?,"[""नोमा बाल संस्कृति पुरस्कार (Noma Baal Sanskriti Puraskar)"", ""नोमा बाल साहित्य पुरस्कार (Noma Baal Sahitya Puraskar)""]",日本の児童文学の優れた作品を顕彰する賞は何ですか？,"[""野間児童文芸賞 (Noma Jidō Bungei Shō)"", ""野間児童文化賞 (Noma Jidō Bunka Shō)""]",Ni tuzo gani inatambua kazi bora za fasihi ya watoto nchini Japani?,"[""Tuzo ya Utamaduni ya Watoto ya Noma"", ""Tuzo ya Fasihi ya Watoto ya Noma""]",รางวัลใดที่ยกย่องผลงานวรรณกรรมสำหรับเด็กที่โดดเด่นในญี่ปุ่น?,"[""รางวัลโนมะวัฒนธรรมเด็ก (รางวัลโนมะวัฒนธรรมเด็ก)"", ""รางวัลโนมะวรรณกรรมเด็ก (รางวัลโนมะวรรณกรรมเด็ก)""]",कौन सा पुरस्कार जापान में बच्चों के साहित्य के उत्कृष्ट कार्यों को मान्यता देता है?,"[""नोमा चिल्ड्रन कल्चर प्राइज़"", ""नोमा चिल्ड्रन लिटरेचर प्राइज़""]",日本の児童文学の傑出した作品を表彰する賞はどれですか？,"[""Noma Children's Culture Prize"", ""ノマ児童文学賞""]",Ni tuzo gani inayotambua kazi bora za fasihi ya watoto huko Japan?,"[""Tuzo ya Utamaduni ya watoto ya Noma"", ""Tuzo ya Fasihi ya watoto ya Noma""]",รางวัลใดที่ยอมรับผลงานวรรณกรรมเด็กที่โดดเด่นในญี่ปุ่น,"[""รางวัลวัฒนธรรมเด็ก Noma"", ""รางวัลวรรณกรรมเด็ก Noma""]"
4,Literature,Award,Japan,20250510-195002,What is the name of the literary award established in memory of Yasunari Kawabata?,"[""Kawabata Yasunari Literary Award"", ""Kawabata Literary Award""]",यासुनारी कावाबाता (Yasunari Kawabata) की स्मृति में स्थापित साहित्यिक पुरस्कार का नाम क्या है?,"[""कावाबाता यासुनारी साहित्यिक पुरस्कार (Kawabata Yasunari Sahityik Puraskar)"", ""कावाबाता साहित्यिक पुरस्कार (Kawabata Sahityik Puraskar)""]",川端康成 (Kawabata Yasunari) を記念して設立された文学賞の名前は何ですか？,"[""川端康成文学賞 (Kawabata Yasunari Bungaku Shō)"", ""川端文学賞 (Kawabata Bungaku Shō)""]",Jina la tuzo ya fasihi iliyoanzishwa kwa kumbukumbu ya Yasunari Kawabata ni nini?,"[""Tuzo ya Fasihi ya Kawabata Yasunari"", ""Tuzo ya Fasihi ya Kawabata""]",รางวัลวรรณกรรมที่ก่อตั้งขึ้นเพื่อเป็นเกียรติแก่ ยาสึนาริ คาวาบาตะ (Yasunari Kawabata) มีชื่อว่าอะไร?,"[""รางวัลวรรณกรรมคาวาบาตะ ยาสึนาริ (รางวัลวรรณกรรมคาวาบาตะ ยาสึนาริ)"", ""รางวัลวรรณกรรมคาวาบาตะ (รางวัลวรรณกรรมคาวาบาตะ)""]",यासुनारी कावाबता की स्मृति में स्थापित साहित्यिक पुरस्कार का नाम क्या है?,"[""कावाबता यासुनारी लिटरेरी अवार्ड"", ""कावाबता लिटरी अवार्ड""]",Yasunari Kawabataを記念して設立された文学賞の名前は何ですか？,"[""川川ヤスナリ文学賞"", ""川川文学賞""]",Je! Jina la tuzo ya fasihi iliyoanzishwa katika kumbukumbu ya Yasunari Kawabata ni nini?,"[""Tuzo ya Fasihi ya Kawabata Yasunari"", ""Tuzo ya Fasihi ya Kawabata""]",รางวัลวรรณกรรมที่ก่อตั้งขึ้นในความทรงจำของ Yasunari Kawabata คืออะไร?,"[""รางวัลวรรณกรรม Kawabata Yasunari"", ""รางวัลวรรณกรรม Kawabata""]"
5,Literature,Award,Japan,20250510-195002,Which award is given to outstanding works of science fiction and fantasy in Japan?,"[""Seiun Award"", ""Hayakawa Award""]",जापान में विज्ञान कथा और फंतासी के उत्कृष्ट कार्यों को कौन सा पुरस्कार दिया जाता है?,"[""सेउन पुरस्कार (Seiun Puraskar)"", ""हायाकावा पुरस्कार (Hayakawa Puraskar)""]",日本のSF・ファンタジーの優れた作品に贈られる賞は何ですか？,"[""星雲賞 (Seiun Shō)"", ""ハヤカワ賞 (Hayakawa Shō)""]",Ni tuzo gani hutolewa kwa kazi bora za sayansi na fantasy nchini Japani?,"[""Tuzo ya Seiun"", ""Tuzo ya Hayakawa""]",รางวัลใดที่มอบให้กับผลงานนิยายวิทยาศาสตร์และแฟนตาซีที่โดดเด่นในญี่ปุ่น?,"[""รางวัลเซอุน (รางวัลเซอุน)"", ""รางวัลฮายาคาวะ (รางวัลฮายาคาวะ)""]",जापान में विज्ञान कथा और फंतासी के उत्कृष्ट कार्यों को कौन सा पुरस्कार दिया गया है?,"[""सियुन अवार्ड"", ""हयाकावा अवार्ड""]",日本のSFとファンタジーの優れた作品にどの賞が授与されますか？,"[""Seiun賞"", ""林川賞""]",Je! Ni tuzo gani inayopewa kazi bora za hadithi za sayansi na ndoto huko Japan?,"[""Tuzo la Seiun"", ""Tuzo la Hayakawa""]",รางวัลใดที่มอบให้กับผลงานนิยายวิทยาศาสตร์ที่โดดเด่นและแฟนตาซีในญี่ปุ่น,"[""รางวัล Seiun"", ""รางวัล Hayakawa""]"
6,Literature,Award,Japan,20250510-195002,What is the name of the award given for debut novels by female authors in Japan?,"[""Subaru Literary Prize"", ""Subaru Prize""]",जापान में महिला लेखकों द्वारा लिखे गए पहले उपन्यासों के लिए कौन सा पुरस्कार दिया जाता है?,"[""सुबारू साहित्यिक पुरस्कार (Subaru Sahityik Puraskar)"", ""सुबारू पुरस्कार (Subaru Puraskar)""]",日本の女性作家によるデビュー小説に贈られる賞は何ですか？,"[""すばる文学賞 (Subaru Bungaku Shō)"", ""すばる賞 (Subaru Shō)""]",Jina la tuzo inayotolewa kwa riwaya za kwanza za waandishi wa kike nchini Japani ni nini?,"[""Tuzo ya Fasihi ya Subaru"", ""Tuzo ya Subaru""]",รางวัลอะไรที่มอบให้สำหรับนวนิยายเรื่องแรกของนักเขียนหญิงในญี่ปุ่น?,"[""รางวัลวรรณกรรมซูบารุ (รางวัลวรรณกรรมซูบารุ)"", ""รางวัลซูบารุ (รางวัลซูบารุ)""]",जापान में महिला लेखकों द्वारा डेब्यू उपन्यासों के लिए दिए गए पुरस्कार का नाम क्या है?,"[""सुबारू लिटरी प्राइज़"", ""सुबारू प्राइज़""]",日本の女性作家からデビュー小説に与えられた賞の名前は何ですか？,"[""スバル文学賞"", ""スバル賞""]",Je! Jina la tuzo iliyopewa riwaya za kwanza na waandishi wa kike huko Japan?,"[""Tuzo ya Fasihi ya Subaru"", ""Tuzo la Subaru""]",รางวัลที่มอบให้สำหรับนวนิยายเปิดตัวโดยนักเขียนหญิงในญี่ปุ่นคืออะไร?,"[""รางวัลวรรณกรรม Subaru"", ""รางวัล Subaru""]"
7,Literature,Award,Japan,20250510-195002,Which award recognizes excellence in mystery novels in Japan?,"[""Mystery Writers of Japan Award"", ""Mystery Writers Award""]",जापान में रहस्यमय उपन्यासों में उत्कृष्टता को कौन सा पुरस्कार सम्मानित करता है?,"[""जापान के रहस्य लेखक पुरस्कार (Japan ke Rahasya Lekhak Puraskar)"", ""रहस्य लेखक पुरस्कार (Rahasya Lekhak Puraskar)""]",日本のミステリー小説の優れた作品を顕彰する賞は何ですか？,"[""日本ミステリー作家協会賞 (Nihon Misuterī Sakka Kyōkai Shō)"", ""ミステリー作家協会賞 (Misuterī Sakka Kyōkai Shō)""]",Ni tuzo gani inatambua ubora katika riwaya za siri nchini Japani?,"[""Tuzo ya Waandishi wa Siri wa Japani"", ""Tuzo ya Waandishi wa Siri""]",รางวัลใดที่ยกย่องความเป็นเลิศในนวนิยายลึกลับในญี่ปุ่น?,"[""รางวัลนักเขียนลึกลับแห่งญี่ปุ่น (รางวัลนักเขียนลึกลับแห่งญี่ปุ่น)"", ""รางวัลนักเขียนลึกลับ (รางวัลนักเขียนลึกลับ)""]",कौन सा पुरस्कार जापान में रहस्य उपन्यासों में उत्कृष्टता को मान्यता देता है?,"[""जापान पुरस्कार के मिस्ट्री राइटर्स"", ""मिस्ट्री राइटर्स अवार्ड""]",日本のミステリー小説の卓越性を表彰する賞はどれですか？,"[""ミステリーライターオブジャパンアワード"", ""ミステリーライター賞""]",Ni tuzo gani inayotambua ubora katika riwaya za siri huko Japan?,"[""Waandishi wa Siri ya Tuzo ya Japan"", ""Tuzo la Waandishi wa Siri""]",รางวัลใดที่ยอมรับความเป็นเลิศในนวนิยายลึกลับในญี่ปุ่น,"[""รางวัล Mystery Writers of Japan Award"", ""รางวัลนักเขียนลึกลับ""]"
8,Literature,Award,Japan,20250510-195002,What is the name of the award given to outstanding works of historical fiction in Japan?,"[""Shiba Ryotaro Prize"", ""Ryotaro Shiba Prize""]",जापान में ऐतिहासिक कथा साहित्य के उत्कृष्ट कार्यों को कौन सा पुरस्कार दिया जाता है?,"[""शिबा रयोटारो पुरस्कार (Shiba Ryotaro Puraskar)"", ""रयोटारो शिबा पुरस्कार (Ryotaro Shiba Puraskar)""]",日本の歴史小説の優れた作品に贈られる賞は何ですか？,"[""司馬遼太郎賞 (Shiba Ryōtarō Shō)""]",Jina la tuzo inayotolewa kwa kazi bora za hadithi za kihistoria nchini Japani ni nini?,"[""Tuzo ya Shiba Ryotaro"", ""Tuzo ya Ryotaro Shiba""]",รางวัลอะไรที่มอบให้กับผลงานนิยายอิงประวัติศาสตร์ที่โดดเด่นในญี่ปุ่น?,"[""รางวัลชิบะ เรียวทาโร่ (รางวัลชิบะ เรียวทาโร่)"", ""รางวัลเรียวทาโร่ ชิบะ (รางวัลเรียวทาโร่ ชิบะ)""]",जापान में ऐतिहासिक कथा साहित्य के उत्कृष्ट कार्यों को दिए गए पुरस्कार का नाम क्या है?,"[""शिबा रयोटारो प्राइज़"", ""रयोटारो शिबा प्राइज़""]",日本の歴史小説の傑出した作品に与えられた賞の名前は何ですか？,"[""Shiba Ryotaro賞"", ""リョタロチバ賞""]",Je! Ni jina gani la tuzo iliyopewa kazi bora za hadithi za kihistoria huko Japan?,"[""Tuzo ya Shiba Ryotaro"", ""Tuzo ya Ryotaro Shiba""]",รางวัลที่มอบให้กับผลงานที่โดดเด่นของนิยายอิงประวัติศาสตร์ในญี่ปุ่นคืออะไร?,"[""รางวัล Shiba Ryotaro"", ""รางวัล Ryotaro Shiba""]"
9,Literature,Award,Japan,20250510-195002,Which award is given to outstanding works of literary criticism in Japan?,"[""Yomiuri Prize for Literature"", ""Yomiuri Literary Prize""]",जापान में साहित्यिक आलोचना के उत्कृष्ट कार्यों को कौन सा पुरस्कार दिया जाता है?,"[""योमिउरी साहित्य पुरस्कार (Yomiuri Sahitya Puraskar)"", ""योमिउरी पुरस्कार (Yomiuri Puraskar)""]",日本の優れた文芸評論作品に贈られる賞は何ですか？,"[""読売文学賞 (Yomiuri Bungaku Shō)""]",Ni tuzo gani hutolewa kwa kazi bora za uhakiki wa fasihi nchini Japani?,"[""Tuzo ya Yomiuri ya Fasihi"", ""Tuzo ya Fasihi ya Yomiuri""]",รางวัลใดที่มอบให้กับผลงานวิจารณ์วรรณกรรมที่โดดเด่นในญี่ปุ่น?,"[""รางวัลโยมิอุริสาขาวรรณกรรม (รางวัลโยมิอุริสาขาวรรณกรรม)"", ""รางวัลโยมิอุริ (รางวัลโยมิอุริ)""]",जापान में साहित्यिक आलोचना के उत्कृष्ट कार्यों को कौन सा पुरस्कार दिया गया है?,"[""साहित्य के लिए योमुरी पुरस्कार"", ""योमुरी लिटरी प्राइज़""]",日本の文学批評の傑出した作品にどの賞が授与されますか？,"[""Yomiuri賞の文学賞"", ""ヨミウリ文学賞""]",Je! Ni tuzo gani inayopewa kazi bora za ukosoaji wa fasihi huko Japan?,"[""Tuzo ya Yomiuri kwa Fasihi"", ""Tuzo ya Fasihi ya Yomiuri""]",รางวัลใดที่มอบให้กับผลงานวิจารณ์วรรณกรรมที่โดดเด่นในญี่ปุ่น,"[""รางวัล Yomiuri สำหรับวรรณกรรม"", ""รางวัลวรรณกรรม Yomiuri""]"
10,Literature,Award,Japan,20250510-195002,What is the name of the award given for outstanding works of translation in Japan?,"[""Japan Translation Culture Prize"", ""Japan Translation Prize""]",जापान में अनुवाद के उत्कृष्ट कार्यों के लिए कौन सा पुरस्कार दिया जाता है?,"[""जापान अनुवाद संस्कृति पुरस्कार (Japan Anuvad Sanskriti Puraskar)"", ""जापान अनुवाद पुरस्कार (Japan Anuvad Puraskar)""]",日本の優れた翻訳作品に贈られる賞は何ですか？,"[""日本翻訳文化賞 (Nihon Honyaku Bunka Shō)"", ""日本翻訳大賞 (Nihon Honyaku Taishō)""]",Jina la tuzo inayotolewa kwa kazi bora za tafsiri nchini Japani ni nini?,"[""Tuzo ya Utamaduni ya Tafsiri ya Japani"", ""Tuzo ya Tafsiri ya Japani""]",รางวัลอะไรที่มอบให้สำหรับผลงานแปลที่โดดเด่นในญี่ปุ่น?,"[""รางวัลวัฒนธรรมการแปลแห่งญี่ปุ่น (รางวัลวัฒนธรรมการแปลแห่งญี่ปุ่น)"", ""รางวัลการแปลแห่งญี่ปุ่น (รางวัลการแปลแห่งญี่ปุ่น)""]",जापान में अनुवाद के उत्कृष्ट कार्यों के लिए दिए गए पुरस्कार का नाम क्या है?,"[""जापान ट्रांसलेशन कल्चर प्राइज़"", ""जापान ट्रांसलेशन प्राइज़""]",日本での優れた翻訳作品に対して与えられた賞の名前は何ですか？,"[""日本翻訳文化賞"", ""日本翻訳賞""]",Je! Ni jina gani la tuzo iliyotolewa kwa kazi bora za tafsiri huko Japan?,"[""Tuzo ya Utamaduni wa Japan"", ""Tuzo ya Tafsiri ya Japan""]",รางวัลที่ได้รับรางวัลสำหรับผลงานการแปลที่โดดเด่นในญี่ปุ่นคืออะไร?,"[""รางวัลวัฒนธรรมการแปลญี่ปุ่น"", ""รางวัลการแปลญี่ปุ่น""]"
